location,kind,region,realm,status
me_land_0092,land,me_mordor_region,WILD,wild_unclaimed
me_land_0093,land,me_rhun_region,RH3,owned
me_land_0094,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0095,land,me_forochel_region,LOS,owned
me_land_0096,land,me_far_harad_region,WILD,wild_unclaimed
me_land_0097,land,me_angmar_region,WILD,wild_unclaimed
me_land_0098,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0099,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0100,land,me_near_harad_region,HNE,owned
me_land_0101,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0102,land,me_mordor_region,WILD,wild_unclaimed
me_land_0103,land,me_mordor_region,WILD,wild_unclaimed
me_land_0104,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0105,land,me_south_gondor_region,GON,owned
me_land_0106,land,me_rohan_region,ROH,owned
me_land_0107,land,me_rhun_region,RHU,owned
me_land_0108,land,me_mirkwood_region,DOL,owned
me_land_0109,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0110,land,me_mirkwood_region,WILD,wild_unclaimed
me_land_0111,land,me_ithilien_region,WILD,wild_ithilien
me_land_0112,land,me_mordor_region,MOR,owned
me_land_0113,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0114,land,me_ithilien_region,WILD,wild_ithilien
me_land_0115,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0116,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0117,land,me_forochel_region,LOS,owned
me_land_0118,land,me_umbar_region,UMB,owned
me_land_0119,land,me_rohan_region,ROH,owned
me_land_0120,land,me_belfalas_region,GON,owned
me_land_0121,land,me_mirkwood_region,DOL,owned
me_land_0122,land,me_mirkwood_region,WDM,owned
me_land_0123,land,me_umbar_region,UMB,owned
me_land_0124,land,me_grey_mountains_region,GUN,owned
me_land_0125,land,me_rhun_region,WILD,wild_unclaimed
me_land_0126,land,me_dale_region,ERE,owned
me_land_0127,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0128,land,me_anduin_vale_region,GOB,owned
me_land_0129,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0130,land,me_rohan_region,ROH,owned
me_land_0131,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0132,land,me_mordor_region,MOR,owned
me_land_0133,land,me_khand_region,WILD,wild_unclaimed
me_land_0134,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0135,land,me_lebennin_region,GON,owned
me_land_0136,land,me_rhun_region,WILD,wild_unclaimed
me_land_0137,land,me_shire_breeland_region,WILD,wild_buffer
me_land_0138,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0139,land,me_mordor_region,WILD,wild_unclaimed
me_land_0140,land,me_belfalas_region,DAM,owned
me_land_0141,land,me_belfalas_region,GON,owned
me_land_0142,land,me_lebennin_region,GON,owned
me_land_0143,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0144,land,me_rhun_region,WILD,wild_unclaimed
me_land_0145,land,me_umbar_region,UMB,owned
me_land_0146,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0147,land,me_near_harad_region,HNE,owned
me_land_0148,land,me_belfalas_region,GON,owned
me_land_0149,land,me_mordor_region,WILD,wild_unclaimed
me_land_0150,land,me_mirkwood_region,WILD,wild_unclaimed
me_land_0151,land,me_mirkwood_region,BEO,owned
me_land_0152,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0153,land,me_mordor_region,WILD,wild_unclaimed
me_land_0154,land,me_mordor_region,MOR,owned
me_land_0155,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0156,land,me_mirkwood_region,WILD,wild_unclaimed
me_land_0157,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0158,land,me_khand_region,KHA,owned
me_land_0159,land,me_dale_region,DAL,owned
me_land_0160,land,me_rhun_region,RHU,owned
me_land_0161,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0162,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0163,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0164,land,me_enedwaith_region,DUN,owned
me_land_0165,land,me_rhun_region,WILD,wild_buffer
me_land_0166,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0167,land,me_near_harad_region,HNE,owned
me_land_0168,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0169,land,me_north_arnor_region,RIV,owned
me_land_0170,land,me_anduin_vale_region,WILD,wild_unclaimed
me_land_0171,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0172,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0173,land,me_far_harad_region,HRA,owned
me_land_0174,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0175,land,me_near_harad_region,HNE,owned
me_land_0176,land,me_rhun_region,RH2,owned
me_land_0177,land,me_rohan_region,ROH,owned
me_land_0178,land,me_umbar_region,UMB,owned
me_land_0179,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0180,land,me_mordor_region,MOR,owned
me_land_0181,land,me_shire_breeland_region,SHI,owned
me_land_0182,land,me_mordor_region,MOR,owned
me_land_0183,land,me_grey_mountains_region,WILD,wild_unclaimed
me_land_0184,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0185,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0186,land,me_enedwaith_region,WILD,wild_reviewed_frontier: ruined Tharbad has no TA 3018 sovereign administration
me_land_0187,land,me_mordor_region,MOR,owned
me_land_0188,land,me_belfalas_region,GON,owned
me_land_0189,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0190,land,me_mordor_region,WILD,wild_unclaimed
me_land_0191,land,me_umbar_region,UMB,owned
me_land_0192,land,me_lindon_region,LIN,owned
me_land_0193,land,me_mordor_region,MOR,owned
me_land_0194,land,me_anduin_vale_region,WILD,wild_unclaimed
me_land_0195,land,me_mordor_region,WILD,wild_unclaimed
me_land_0196,land,me_mordor_region,MOR,owned
me_land_0197,land,me_khand_region,KHA,owned
me_land_0198,land,me_belfalas_region,GON,owned
me_land_0199,land,me_rhun_region,WILD,wild_unclaimed
me_land_0200,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0201,land,me_belfalas_region,GON,owned
me_land_0202,land,me_rhun_region,RH3,owned
me_land_0203,land,me_enedwaith_region,DUN,owned
me_land_0204,land,me_mirkwood_region,WOO,owned
me_land_0205,land,me_mordor_region,MOR,owned
me_land_0206,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0207,land,me_khand_region,KHA,owned
me_land_0208,land,me_near_harad_region,UMB,owned
me_land_0209,land,me_anduin_vale_region,WILD,wild_unclaimed
me_land_0210,land,me_anduin_vale_region,BEO,owned
me_land_0211,land,me_rhun_region,RH2,owned
me_land_0212,land,me_rhun_region,RH2,owned
me_land_0213,land,me_rhun_region,WILD,wild_unclaimed
me_land_0214,land,me_lindon_region,LIN,owned
me_land_0215,land,me_rhun_region,DOR,owned
me_land_0216,land,me_mirkwood_region,WILD,wild_buffer
me_land_0217,land,me_rohan_region,ROH,owned
me_land_0218,land,me_rhun_region,RH3,owned
me_land_0219,land,me_umbar_region,UMB,owned
me_land_0220,land,me_ithilien_region,WILD,wild_ithilien
me_land_0221,land,me_mirkwood_region,WOO,owned
me_land_0222,land,me_belfalas_region,GON,owned
me_land_0223,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0224,land,me_grey_mountains_region,GUN,owned
me_land_0225,land,me_mordor_region,WILD,wild_unclaimed
me_land_0226,land,me_south_gondor_region,GON,owned
me_land_0227,land,me_khand_region,KHA,owned
me_land_0228,land,me_anduin_vale_region,WILD,wild_unclaimed
me_land_0229,land,me_rohan_region,ROH,owned
me_land_0230,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0231,land,me_south_gondor_region,GON,owned
me_land_0232,land,me_rhun_region,IRO,owned
me_land_0233,land,me_mordor_region,MOR,owned
me_land_0234,land,me_khand_region,KHA,owned
me_land_0235,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0236,land,me_rhun_region,RH2,owned
me_land_0237,land,me_mirkwood_region,DOL,owned
me_land_0238,land,me_khand_region,KHA,owned
me_land_0239,land,me_belfalas_region,GON,owned
me_land_0240,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0241,land,me_mordor_region,WILD,wild_unclaimed
me_land_0242,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0243,land,me_dale_region,WOO,owned
me_land_0244,land,me_forochel_region,LOS,owned
me_land_0245,land,me_mordor_region,WILD,wild_unclaimed
me_land_0246,land,me_rhun_region,RH3,owned
me_land_0247,land,me_rhun_region,WILD,wild_unclaimed
me_land_0248,land,me_anorien_region,GON,owned
me_land_0249,land,me_rohan_region,ROH,owned
me_land_0250,land,me_rhun_region,RH3,owned
me_land_0251,land,me_near_harad_region,HNE,owned
me_land_0252,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0253,land,me_rhun_region,RHU,owned
me_land_0254,land,me_near_harad_region,HNE,owned
me_land_0255,land,me_khand_region,KHA,owned
me_land_0256,land,me_rhun_region,RHU,owned
me_land_0257,land,me_rhun_region,WILD,wild_unclaimed
me_land_0258,land,me_anduin_vale_region,BEO,owned
me_land_0259,land,me_rohan_region,FAN,owned
me_land_0260,land,me_anorien_region,GON,owned
me_land_0261,land,me_rohan_region,ROH,owned
me_land_0262,land,me_khand_region,KHA,owned
me_land_0263,land,me_enedwaith_region,MOA,owned
me_land_0264,land,me_umbar_region,UMB,owned
me_land_0265,land,me_lebennin_region,GON,owned
me_land_0266,land,me_mordor_region,MOR,owned
me_land_0267,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0268,land,me_mordor_region,MOR,owned
me_land_0269,land,me_rhun_region,WILD,wild_unclaimed
me_land_0270,land,me_rohan_region,ROH,owned
me_land_0271,land,me_umbar_region,UMB,owned
me_land_0272,land,me_mordor_region,MOR,owned
me_land_0273,land,me_belfalas_region,DAM,owned
me_land_0274,land,me_shire_breeland_region,WILD,wild_buffer
me_land_0275,land,me_rhun_region,DOR,owned
me_land_0276,land,me_mirkwood_region,WILD,wild_unclaimed
me_land_0277,land,me_rohan_region,ROH,owned
me_land_0278,land,me_south_gondor_region,GON,owned
me_land_0279,land,me_mirkwood_region,WOO,owned
me_land_0280,land,me_rhun_region,RHU,owned
me_land_0281,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0282,land,me_anduin_vale_region,DOL,owned
me_land_0283,land,me_mordor_region,WILD,wild_unclaimed
me_land_0284,land,me_forochel_region,LOS,owned
me_land_0285,land,me_mordor_region,MOR,owned
me_land_0286,land,me_north_arnor_region,WILD,wild_buffer
me_land_0287,land,me_khand_region,KHA,owned
me_land_0288,land,me_umbar_region,UMB,owned
me_land_0289,land,me_rohan_region,ROH,owned
me_land_0290,land,me_north_arnor_region,RAN,owned
me_land_0291,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0292,land,me_rohan_region,ROH,owned
me_land_0293,land,me_rohan_region,ROH,owned
me_land_0294,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0295,land,me_near_harad_region,HNE,owned
me_land_0296,land,me_dale_region,ERE,owned
me_land_0297,land,me_rhun_region,RHU,owned
me_land_0298,land,me_rhun_region,RHU,owned
me_land_0299,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0300,land,me_lindon_region,LIN,owned
me_land_0301,land,me_rohan_region,ROH,owned
me_land_0302,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0303,land,me_mordor_region,WILD,wild_unclaimed
me_land_0304,land,me_near_harad_region,HNE,owned
me_land_0305,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0306,land,me_umbar_region,UMB,owned
me_land_0307,land,me_belfalas_region,GON,owned
me_land_0308,land,me_brown_lands_region,WILD,wild_buffer
me_land_0309,land,me_brown_lands_region,WILD,wild_buffer
me_land_0310,land,me_mordor_region,WILD,wild_unclaimed
me_land_0311,land,me_anduin_vale_region,BEO,owned
me_land_0312,land,me_brown_lands_region,DOR,owned
me_land_0313,land,me_rhun_region,RHU,owned
me_land_0314,land,me_rhun_region,WILD,wild_unclaimed
me_land_0315,land,me_rhun_region,RH2,owned
me_land_0316,land,me_rhun_region,RHU,owned
me_land_0317,land,me_belfalas_region,GON,owned
me_land_0318,land,me_mordor_region,WILD,wild_unclaimed
me_land_0319,land,me_anduin_vale_region,FAN,owned
me_land_0320,land,me_grey_mountains_region,WILD,wild_unclaimed
me_land_0321,land,me_rhun_region,WILD,wild_unclaimed
me_land_0322,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0323,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0324,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0325,land,me_near_harad_region,HNE,owned
me_land_0326,land,me_umbar_region,UMB,owned
me_land_0327,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0328,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0329,land,me_rhun_region,RH2,owned
me_land_0330,land,me_mordor_region,WILD,wild_unclaimed
me_land_0331,land,me_near_harad_region,HNE,owned
me_land_0332,land,me_rhun_region,RH2,owned
me_land_0333,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0334,land,me_rhun_region,RH2,owned
me_land_0335,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0336,land,me_south_gondor_region,GON,owned
me_land_0337,land,me_rhun_region,RH2,owned
me_land_0338,land,me_lindon_region,LIN,owned
me_land_0339,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0340,land,me_lebennin_region,GON,owned
me_land_0341,land,me_mirkwood_region,BEO,owned
me_land_0342,land,me_mordor_region,WILD,wild_unclaimed
me_land_0343,land,me_rhun_region,IRO,owned
me_land_0344,land,me_rohan_region,WILD,wild_reviewed_frontier: the east-bank Seat of Seeing lies beyond Rohan's Anduin frontier
me_land_0345,land,me_rhun_region,DOR,owned
me_land_0346,land,me_mordor_region,MOR,owned
me_land_0347,land,me_mordor_region,MOR,owned
me_land_0348,land,me_rhun_region,WILD,wild_unclaimed
me_land_0349,land,me_north_arnor_region,RIV,owned
me_land_0350,land,me_mirkwood_region,WOO,owned
me_land_0351,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0352,land,me_anduin_vale_region,MOA,owned
me_land_0353,land,me_near_harad_region,WILD,wild_unclaimed
me_land_0354,land,me_angmar_region,WILD,wild_unclaimed
me_land_0355,land,me_rhun_region,WILD,wild_unclaimed
me_land_0356,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0357,land,me_umbar_region,UMB,owned
me_land_0358,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0359,land,me_shire_breeland_region,WILD,wild_buffer
me_land_0360,land,me_rhun_region,DOR,owned
me_land_0361,land,me_anduin_vale_region,BEO,owned
me_land_0362,land,me_mirkwood_region,WILD,wild_unclaimed
me_land_0363,land,me_brown_lands_region,WILD,wild_buffer
me_land_0364,land,me_mordor_region,WILD,wild_unclaimed
me_land_0365,land,me_umbar_region,UMB,owned
me_land_0366,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0367,land,me_forochel_region,LOS,owned
me_land_0368,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0369,land,me_mordor_region,MOR,owned
me_land_0370,land,me_mordor_region,MOR,owned
me_land_0371,land,me_north_arnor_region,RAN,owned
me_land_0372,land,me_mordor_region,WILD,wild_unclaimed
me_land_0373,land,me_dale_region,DAL,owned
me_land_0374,land,me_lebennin_region,GON,owned
me_land_0375,land,me_rhun_region,DOR,owned
me_land_0376,land,me_rhun_region,WILD,wild_unclaimed
me_land_0377,land,me_belfalas_region,DAM,owned
me_land_0378,land,me_rhun_region,RH2,owned
me_land_0379,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0380,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0381,land,me_mordor_region,MOR,owned
me_land_0382,land,me_rohan_region,ROH,owned
me_land_0383,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0384,land,me_rohan_region,ROH,owned
me_land_0385,land,me_rhun_region,RHU,owned
me_land_0386,land,me_rhun_region,DOR,owned
me_land_0387,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0388,land,me_far_harad_region,HFA,owned
me_land_0389,land,me_umbar_region,UMB,owned
me_land_0390,land,me_mordor_region,WILD,wild_unclaimed
me_land_0391,land,me_north_arnor_region,RAN,owned
me_land_0392,land,me_mirkwood_region,WOO,owned
me_land_0393,land,me_umbar_region,UMB,owned
me_land_0394,land,me_lindon_region,BLU,owned
me_land_0395,land,me_lindon_region,BLU,owned
me_land_0396,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0397,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0398,land,me_lebennin_region,GON,owned
me_land_0399,land,me_rhun_region,WILD,wild_unclaimed
me_land_0400,land,me_lindon_region,LIN,owned
me_land_0401,land,me_mordor_region,WILD,wild_unclaimed
me_land_0402,land,me_lindon_region,LIN,owned
me_land_0403,land,me_near_harad_region,HNE,owned
me_land_0404,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0405,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0406,land,me_near_harad_region,HNE,owned
me_land_0407,land,me_shire_breeland_region,SHI,owned
me_land_0408,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0409,land,me_enedwaith_region,WILD,wild_unclaimed
me_land_0410,land,me_belfalas_region,DAM,owned
me_land_0411,land,me_anduin_vale_region,BEO,owned
me_land_0412,land,me_near_harad_region,HNE,owned
me_land_0413,land,me_ithilien_region,WILD,wild_ithilien
me_land_0414,land,me_north_arnor_region,RAN,owned
me_land_0415,land,me_near_harad_region,UMB,owned
me_land_0416,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0417,land,me_anduin_vale_region,DOL,owned
me_land_0418,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0419,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0420,land,me_rhun_region,WILD,wild_unclaimed
me_land_0421,land,me_north_arnor_region,RAN,owned
me_land_0422,land,me_mordor_region,WILD,wild_unclaimed
me_land_0423,land,me_umbar_region,UMB,owned
me_land_0424,land,me_anduin_vale_region,LOR,owned
me_land_0425,land,me_lebennin_region,GON,owned
me_land_0426,land,me_rohan_region,ROH,owned
me_land_0427,land,me_grey_mountains_region,WILD,wild_unclaimed
me_land_0428,land,me_anduin_vale_region,WILD,wild_unclaimed
me_land_0429,land,me_mordor_region,WILD,wild_unclaimed
me_land_0430,land,me_enedwaith_region,WILD,wild_enedwaith
me_land_0431,land,me_brown_lands_region,MOR,owned
me_land_0432,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0433,land,me_khand_region,KHA,owned
me_land_0434,land,me_khand_region,KHA,owned
me_land_0435,land,me_near_harad_region,HRA,owned
me_land_0436,land,me_mirkwood_region,WILD,wild_unclaimed
me_land_0437,land,me_anorien_region,GON,owned
me_land_0438,land,me_ithilien_region,WILD,wild_ithilien
me_land_0439,land,me_far_harad_region,HRA,owned
me_land_0440,land,me_far_harad_region,WILD,wild_unclaimed
me_land_0441,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0442,land,me_rhun_region,IRO,owned
me_land_0443,land,me_mordor_region,WILD,wild_unclaimed
me_land_0444,land,me_khand_region,KHA,owned
me_land_0445,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0446,land,me_rhun_region,RHU,owned
me_land_0447,land,me_rhun_region,WILD,wild_unclaimed
me_land_0448,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0449,land,me_anduin_vale_region,GOB,owned
me_land_0450,land,me_near_harad_region,WILD,wild_unclaimed
me_land_0451,land,me_near_harad_region,HNE,owned
me_land_0452,land,me_northern_wastes_region,WILD,wild_forodwaith
me_land_0453,land,me_lindon_region,LIN,owned
me_land_0454,land,me_grey_mountains_region,GUN,owned
me_land_0455,land,me_near_harad_region,HNE,owned
me_land_0456,land,me_anduin_vale_region,WILD,wild_buffer
me_land_0457,land,me_brown_lands_region,WILD,wild_unclaimed
me_land_0458,land,me_rhun_region,DOR,owned
me_land_0459,land,me_south_gondor_region,GON,owned
me_land_0460,land,me_rhun_region,WILD,wild_unclaimed
me_land_0461,land,me_rhun_region,DOR,owned
me_land_0462,land,me_rhun_region,RH2,owned
me_land_0463,land,me_north_arnor_region,WILD,wild_unclaimed
me_land_0464,land,me_mordor_region,MOR,owned
me_land_0465,land,me_mordor_region,WILD,wild_unclaimed
me_land_0466,land,me_rhun_region,RH2,owned
me_land_0467,land,me_belfalas_region,GON,owned
me_land_0468,land,me_shire_breeland_region,SHI,owned
me_land_0469,land,me_umbar_region,UMB,owned
me_land_0470,land,me_lindon_region,BLU,owned
me_land_0471,land,me_dale_region,ERE,owned
