location,name,kind,region,realm,rank,source
me_land_0037,Bar adarath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0038,Khurach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0039,Bregoberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0040,Barazabad,land,me_grey_mountains_region,ERE,place,† M3 regional lexicon
me_land_0041,Calen adarath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0042,Lodach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0043,Celon adarath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0044,Narach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0045,Northbay,land,me_forochel_region,LOS,place,† M3 regional lexicon
me_land_0046,Bramblebank,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0047,Cair Andros,land,me_ithilien_region,GON,fortress,"LOTR, Book V, Ch. 4"
me_land_0048,Bahrabad,land,me_near_harad_region,HRA,place,† M3 regional lexicon
me_land_0049,Darabad,land,me_far_harad_region,HRA,place,† M3 regional lexicon
me_land_0050,Nim adarath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0051,Ceorlberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0052,Amon aelath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0053,Dol aelath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0054,Eithel aelath,land,me_ithilien_region,WILD,wilderness,† M3 regional lexicon
me_land_0055,Rhovach,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0056,Sagach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0057,Grishbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0058,Déorberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0059,Farabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0060,Krimpbag,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0061,Hadrabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0062,Sharach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0063,Lugbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0064,Eorlberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0065,Bellbank,land,me_dale_region,DAL,place,† M3 regional lexicon
me_land_0066,Bucklandbank,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0067,Uldach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0068,Cedarbank,land,me_anorien_region,DRU,place,† M3 regional lexicon
me_land_0069,Emyn aelath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0070,Deepbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0071,Wainach,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0072,Mauhbag,land,me_north_arnor_region,ANG,place,† M3 regional lexicon
me_land_0073,Imlad aelath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0074,Folcberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0075,Palebay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0076,Zorach,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0077,Sealbay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0078,Arzak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0079,Minas aelath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0080,Ost aelath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0081,Amon Hen,land,me_rohan_region,ROH,ruin,"LOTR, Book II, Ch. 10"
me_land_0082,Balkak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0083,Taur aelath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0084,Eastbank,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0085,Bar aelath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0086,Calen aelath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0087,Celon aelath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0088,Nim aelath,land,me_anduin_vale_region,LOR,place,† M3 regional lexicon
me_land_0089,Bowbank,land,me_rhun_region,DOR,place,† M3 regional lexicon
me_land_0090,Amon annonath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0091,Framberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0092,Greenbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0093,Snowbay,land,me_forochel_region,LOS,place,† M3 regional lexicon
me_land_0094,Muzgbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0095,Kharabad,land,me_near_harad_region,HRA,place,† M3 regional lexicon
me_land_0096,Drazak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0097,Balad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0098,Dol annonath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0099,Nazgbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0100,Alderbark,land,me_rohan_region,FAN,place,† M3 regional lexicon
me_land_0101,Borad,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0102,Greybank,land,me_mirkwood_region,WDM,place,† M3 regional lexicon
me_land_0103,Longbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0104,Northbank,land,me_anduin_vale_region,WDM,place,† M3 regional lexicon
me_land_0105,Grimberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0106,Oakbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0107,Eithel annonath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0108,Emyn annonath,land,me_ithilien_region,WILD,wilderness,† M3 regional lexicon
me_land_0109,Skaibag,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0110,Southbank,land,me_mirkwood_region,WDM,place,† M3 regional lexicon
me_land_0111,Imlad annonath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0112,Helmberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0113,Minas annonath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0114,Ost annonath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0115,Taur annonath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0116,Bar annonath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0117,Dunland Moot,land,me_enedwaith_region,DUN,town,† political seat invented because canon gives Dunland no capital
me_land_0118,Mahrabad,land,me_near_harad_region,UMB,place,† M3 regional lexicon
me_land_0119,Starbay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0120,Calen annonath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0121,Stonebank,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0122,Uglbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0123,Celon annonath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0124,Heruberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0125,Léodberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0126,Westbank,land,me_anduin_vale_region,WDM,place,† M3 regional lexicon
me_land_0127,Nim annonath,land,me_anduin_vale_region,LOR,place,† M3 regional lexicon
me_land_0128,Urukbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0129,Ashburz,land,me_angmar_region,GUN,place,† M3 regional lexicon
me_land_0130,Gharak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0131,Forochel Camp,land,me_forochel_region,LOS,camp,† seasonal seat invented for the Lossoth polity
me_land_0132,Gathad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0133,Amon belath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0134,Whitebay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0135,Dol belath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0136,Alderbourne,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0137,Ridberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0138,Winterbay,land,me_forochel_region,LOS,place,† M3 regional lexicon
me_land_0139,Eithel belath,land,me_south_gondor_region,GON,place,† M3 regional lexicon
me_land_0140,Kandak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0141,Applebank,land,me_shire_breeland_region,WILD,wilderness,† M3 regional lexicon
me_land_0142,Emyn belath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0143,Imlad belath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0144,Karmad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0145,Minas belath,land,me_anduin_vale_region,LOR,place,† M3 regional lexicon
me_land_0146,Thengelberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0147,Ost belath,land,me_anorien_region,GON,place,† M3 regional lexicon
me_land_0148,Taur belath,land,me_anorien_region,GON,place,† M3 regional lexicon
me_land_0149,Khurad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0150,Lodad,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0151,Bar belath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0152,Azgburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0153,Calen belath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0154,Celon belath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0155,Blackburz,land,me_angmar_region,GUN,place,† M3 regional lexicon
me_land_0156,Narad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0157,Nim belath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0158,Ashbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0159,Coldcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0160,Amon bornath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0161,Burzburz,land,me_north_arnor_region,ANG,place,† M3 regional lexicon
me_land_0162,Dushburz,land,me_angmar_region,GUN,place,† M3 regional lexicon
me_land_0163,Rhovad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0164,Sagad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0165,Barrowbourne,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0166,Beaconbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0167,Woldberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0168,Dol bornath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0169,Eithel bornath,land,me_enedwaith_region,RAN,place,† M3 regional lexicon
me_land_0170,Driftcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0171,Bizarabad,land,me_grey_mountains_region,ERE,place,† M3 regional lexicon
me_land_0172,Narabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0173,Blackbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0174,Emyn bornath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0175,Sharad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0176,Beechbark,land,me_anduin_vale_region,FAN,place,† M3 regional lexicon
me_land_0177,Imlad bornath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0178,Ghashburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0179,Gorburz,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0180,Beebank,land,me_anduin_vale_region,BEO,place,† M3 regional lexicon
me_land_0181,Minas bornath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0182,Uldad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0183,Ost bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0184,Brownbank,land,me_shire_breeland_region,WILD,wilderness,† M3 regional lexicon
me_land_0185,Frostcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0186,Taur bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0187,Bar bornath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0188,Calen bornath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0189,Grishburz,land,me_mirkwood_region,DOL,place,† M3 regional lexicon
me_land_0190,Celon bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0191,Krimpburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0192,Wainad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0193,Icecamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0194,Nim bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0195,Lugburz,land,me_north_arnor_region,ANG,place,† M3 regional lexicon
me_land_0196,Northcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0197,Bramblebourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0198,Bucklandbourne,land,me_anduin_vale_region,WDM,place,† M3 regional lexicon
me_land_0199,Khazak,land,me_far_harad_region,KHA,place,† M3 regional lexicon
me_land_0200,Amon caranath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0201,Bundabad,land,me_grey_mountains_region,ERE,place,† M3 regional lexicon
me_land_0202,Mauhburz,land,me_anduin_vale_region,MOA,place,† M3 regional lexicon
me_land_0203,Dol caranath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0204,Zorad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0205,Muzgburz,land,me_angmar_region,ANG,place,† M3 regional lexicon
me_land_0206,Balar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0207,Celduinbank,land,me_rhun_region,DOR,place,† M3 regional lexicon
me_land_0208,Nazgburz,land,me_brown_lands_region,DOL,place,† M3 regional lexicon
me_land_0209,Borar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0210,Gathar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0211,Eithel caranath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0212,Karmar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0213,Emyn caranath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0214,Khurar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0215,Khorak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0216,Palecamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0217,Imlad caranath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0218,Skaiburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0219,Cedarbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0220,Lodar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0221,Ruzak,land,me_near_harad_region,KHA,place,† M3 regional lexicon
me_land_0222,Birchbark,land,me_rohan_region,FAN,place,† M3 regional lexicon
me_land_0223,Skarnak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0224,Sealcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0225,Qasabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0226,Rakhabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0227,Dalebank,land,me_rhun_region,DOR,place,† M3 regional lexicon
me_land_0228,Narar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0229,Uglburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0230,Minas caranath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0231,Urukburz,land,me_brown_lands_region,DOL,place,† M3 regional lexicon
me_land_0232,Sahrabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0233,Ashdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0234,Ost caranath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0235,Deepbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0236,Taur caranath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0237,Azgdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0238,Dumabad,land,me_lindon_region,BLU,place,† M3 regional lexicon
me_land_0239,Bar caranath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0240,Rhovar,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0241,Calen caranath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0242,Tazabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0243,Blackdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0244,Celon caranath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0245,Targak,land,me_far_harad_region,KHA,place,† M3 regional lexicon
me_land_0246,Felekabad,land,me_lindon_region,BLU,place,† M3 regional lexicon
me_land_0247,Eastbourne,land,me_anorien_region,DRU,place,† M3 regional lexicon
me_land_0248,Boughbark,land,me_rohan_region,FAN,place,† M3 regional lexicon
me_land_0249,Varkak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0250,Burzdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0251,Umrabad,land,me_near_harad_region,HRA,place,† M3 regional lexicon
me_land_0252,Dushdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0253,Ghashdûr,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0254,Nim caranath,land,me_ithilien_region,WILD,wilderness,† M3 regional lexicon
me_land_0255,Aldburna,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0256,Amon duinath,land,me_south_gondor_region,GON,place,† M3 regional lexicon
me_land_0257,Gordûr,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0258,Dol duinath,land,me_north_arnor_region,RIV,place,† M3 regional lexicon
me_land_0259,Sagar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0260,Sharar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0261,Uldar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0262,Wainar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0263,Zorar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0264,Greenbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0265,Grishdûr,land,me_grey_mountains_region,GUN,place,† M3 regional lexicon
me_land_0266,Krimpdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0267,Eithel duinath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0268,Amon Lhaw,land,me_rohan_region,ROH,ruin,"LOTR, Book II, Ch. 9"
me_land_0269,Snowcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0270,Greybourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0271,Butterbank,land,me_shire_breeland_region,SHI,place,† M3 regional lexicon
me_land_0272,Emyn duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0273,Balath,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0274,Lugdûr,land,me_brown_lands_region,DOL,place,† M3 regional lexicon
me_land_0275,Imlad duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0276,Longbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0277,Minas duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0278,Esgarbank,land,me_rhun_region,DOR,place,† M3 regional lexicon
me_land_0279,Zarabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0280,Northbourne,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0281,Borath,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0282,Ost duinath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0283,Taur duinath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0284,Mauhdûr,land,me_enedwaith_region,ISE,place,† M3 regional lexicon
