location,name,kind,region,realm,rank,source
me_land_0037,Bar adarath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0038,Lodach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0039,Bregoberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0040,Azanabad,land,me_grey_mountains_region,ERE,place,† M3 regional lexicon
me_land_0041,Calen adarath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0042,Narach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0043,Celon adarath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0044,Rhovach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0045,Northbay,land,me_forochel_region,WILD,wilderness,† M3 regional lexicon
me_land_0046,Bucklandbank,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0047,Cair Andros,land,me_ithilien_region,GON,fortress,"LOTR, Book V, Ch. 4"
me_land_0048,Bahrabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0049,Darabad,land,me_far_harad_region,HNE,place,† M3 regional lexicon
me_land_0050,Nim adarath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0051,Ceorlberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0052,Amon aelath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0053,Dol aelath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0054,Eithel aelath,land,me_ithilien_region,WILD,wilderness,† M3 regional lexicon
me_land_0055,Sagach,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0056,Sharach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0057,Grishbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0058,Déorberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0059,Farabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0060,Krimpbag,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0061,Hadrabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0062,Uldach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0063,Lugbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0064,Eorlberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0065,Bardbank,land,me_dale_region,DAL,place,† M3 regional lexicon
me_land_0066,Cedarbank,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0067,Wainach,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0068,Deepbank,land,me_anorien_region,DRU,place,† M3 regional lexicon
me_land_0069,Emyn aelath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0070,Eastbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0071,Zorach,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0072,Imlad aelath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0073,Minas aelath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0074,Folcberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0075,Palebay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0076,Balad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0077,Sealbay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0078,Arzak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0079,Ost aelath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0080,Taur aelath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0081,Framberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0082,Balkak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0083,Bar aelath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0084,Greenbank,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0085,Calen aelath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0086,Celon aelath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0087,Nim aelath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0088,Greybank,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0089,Bellbank,land,me_rhun_region,DOR,place,† M3 regional lexicon
me_land_0090,Amon annonath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0091,Grimberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0092,Longbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0093,Snowbay,land,me_forochel_region,LOS,place,† M3 regional lexicon
me_land_0094,Mauhbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0095,Kharabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0096,Drazak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0097,Borad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0098,Dol annonath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0099,Muzgbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0100,Beechbark,land,me_rohan_region,FAN,place,† M3 regional lexicon
me_land_0101,Gathad,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0102,Northbank,land,me_mirkwood_region,WDM,place,† M3 regional lexicon
me_land_0103,Oakbank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0104,Southbank,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0105,Helmberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0106,Stonebank,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0107,Eithel annonath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0108,Emyn annonath,land,me_ithilien_region,WILD,wilderness,† M3 regional lexicon
me_land_0109,Nazgbag,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0110,Westbank,land,me_mirkwood_region,WDM,place,† M3 regional lexicon
me_land_0111,Imlad annonath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0112,Heruberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0113,Minas annonath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0114,Karmad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0115,Ost annonath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0116,Taur annonath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0117,Bar annonath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0118,Dunland Moot,land,me_enedwaith_region,DUN,town,† political seat invented because canon gives Dunland no capital
me_land_0119,Mahrabad,land,me_near_harad_region,UMB,place,† M3 regional lexicon
me_land_0120,Starbay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0121,Calen annonath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0122,Alderbourne,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0123,Skaibag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0124,Celon annonath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0125,Léodberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0126,Ridberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0127,Ashbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0128,Barrowbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0129,Uglbag,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0130,Urukbag,land,me_angmar_region,WILD,wilderness,† M3 regional lexicon
me_land_0131,Gharak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0132,Whitebay,land,me_forochel_region,LOS,place,† M3 regional lexicon
me_land_0133,Khurad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0134,Nim annonath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0135,Winterbay,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0136,Amon belath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0137,Beaconbourne,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0138,Thengelberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0139,Coldcamp,land,me_forochel_region,WILD,wilderness,† M3 regional lexicon
me_land_0140,Dol belath,land,me_south_gondor_region,GON,place,† M3 regional lexicon
me_land_0141,Kandak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0142,Applebank,land,me_shire_breeland_region,WILD,wilderness,† M3 regional lexicon
me_land_0143,Eithel belath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0144,Emyn belath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0145,Lodad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0146,Blackbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0147,Woldberg,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0148,Imlad belath,land,me_anorien_region,GON,place,† M3 regional lexicon
me_land_0149,Minas belath,land,me_anorien_region,GON,place,† M3 regional lexicon
me_land_0150,Narad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0151,Rhovad,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0152,Ost belath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0153,Ashburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0154,Taur belath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0155,Bar belath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0156,Azgburz,land,me_angmar_region,WILD,wilderness,† M3 regional lexicon
me_land_0157,Sagad,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0158,Calen belath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0159,Bramblebourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0160,Driftcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0161,Celon belath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0162,Nim belath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0163,Blackburz,land,me_angmar_region,WILD,wilderness,† M3 regional lexicon
me_land_0164,Sharad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0165,Uldad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0166,Bucklandbourne,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0167,Cedarbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0168,Aldburna,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0169,Amon bornath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0170,Deepbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0171,Frostcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0172,Barazabad,land,me_grey_mountains_region,ERE,place,† M3 regional lexicon
me_land_0173,Narabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0174,Eastbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0175,Dol bornath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0176,Wainad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0177,Greenbourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0178,Eithel bornath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0179,Burzburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0180,Dushburz,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0181,Greybourne,land,me_anduin_vale_region,WDM,place,† M3 regional lexicon
me_land_0182,Emyn bornath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0183,Zorad,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0184,Imlad bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0185,Brownbank,land,me_shire_breeland_region,WILD,wilderness,† M3 regional lexicon
me_land_0186,Icecamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0187,Minas bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0188,Ost bornath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0189,Taur bornath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0190,Ghashburz,land,me_mirkwood_region,DOL,place,† M3 regional lexicon
me_land_0191,Bar bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0192,Gorburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0193,Balar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0194,Northcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0195,Calen bornath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0196,Grishburz,land,me_north_arnor_region,ANG,place,† M3 regional lexicon
me_land_0197,Palecamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0198,Longbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0199,Northbourne,land,me_anduin_vale_region,WDM,place,† M3 regional lexicon
me_land_0200,Khazak,land,me_far_harad_region,KHA,place,† M3 regional lexicon
me_land_0201,Celon bornath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0202,Bizarabad,land,me_grey_mountains_region,ERE,place,† M3 regional lexicon
me_land_0203,Krimpburz,land,me_anduin_vale_region,MOA,place,† M3 regional lexicon
me_land_0204,Nim bornath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0205,Borar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0206,Lugburz,land,me_angmar_region,ANG,place,† M3 regional lexicon
me_land_0207,Gathar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0208,Bowbank,land,me_rhun_region,DOR,place,† M3 regional lexicon
me_land_0209,Amon caranath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0210,Karmar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0211,Khurar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0212,Dol caranath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0213,Lodar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0214,Eithel caranath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0215,Narar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0216,Khorak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0217,Sealcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0218,Emyn caranath,land,me_belfalas_region,DAM,place,† M3 regional lexicon
me_land_0219,Mauhburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0220,Oakbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0221,Rhovar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0222,Ruzak,land,me_near_harad_region,KHA,place,† M3 regional lexicon
me_land_0223,Beorburna,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0224,Skarnak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0225,Snowcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0226,Qasabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0227,Rakhabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0228,Sagar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0229,Muzgburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0230,Imlad caranath,land,me_mirkwood_region,WOO,place,† M3 regional lexicon
me_land_0231,Minas caranath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0232,Sahrabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0233,Nazgburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0234,Ost caranath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0235,Southbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0236,Taur caranath,land,me_brown_lands_region,WILD,wilderness,† M3 regional lexicon
me_land_0237,Skaiburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0238,Bar caranath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0239,Calen caranath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0240,Sharar,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0241,Celon caranath,land,me_belfalas_region,GON,place,† M3 regional lexicon
me_land_0242,Tazabad,land,me_umbar_region,UMB,place,† M3 regional lexicon
me_land_0243,Uglburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0244,Nim caranath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0245,Uldar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0246,Targak,land,me_far_harad_region,KHA,place,† M3 regional lexicon
me_land_0247,Amon duinath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0248,Dol duinath,land,me_anorien_region,GON,place,† M3 regional lexicon
me_land_0249,Bregoburna,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0250,Varkak,land,me_khand_region,KHA,place,† M3 regional lexicon
me_land_0251,Urukburz,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0252,Umrabad,land,me_near_harad_region,HRA,place,† M3 regional lexicon
me_land_0253,Ashdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0254,Azgdûr,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0255,Eithel duinath,land,me_ithilien_region,WILD,wilderness,† M3 regional lexicon
me_land_0256,Ceorlburna,land,me_rohan_region,ROH,place,† M3 regional lexicon
me_land_0257,Emyn duinath,land,me_south_gondor_region,GON,place,† M3 regional lexicon
me_land_0258,Blackdûr,land,me_ithilien_region,MOR,place,† M3 regional lexicon
me_land_0259,Imlad duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0260,Wainar,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0261,Zorar,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0262,Balath,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0263,Borath,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0264,Gathath,land,me_rhun_region,RH2,place,† M3 regional lexicon
me_land_0265,Stonebourne,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0266,Burzdûr,land,me_grey_mountains_region,GUN,place,† M3 regional lexicon
me_land_0267,Dushdûr,land,me_mordor_region,MOR,place,† M3 regional lexicon
me_land_0268,Minas duinath,land,me_lebennin_region,GON,place,† M3 regional lexicon
me_land_0269,Amon Lhaw,land,me_rohan_region,ROH,ruin,"LOTR, Book II, Ch. 9"
me_land_0270,Starcamp,land,me_northern_wastes_region,WILD,wilderness,† M3 regional lexicon
me_land_0271,Westbourne,land,me_enedwaith_region,DUN,place,† M3 regional lexicon
me_land_0272,Butterbank,land,me_shire_breeland_region,SHI,place,† M3 regional lexicon
me_land_0273,Ost duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0274,Karmath,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0275,Ghashdûr,land,me_brown_lands_region,DOL,place,† M3 regional lexicon
me_land_0276,Taur duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0277,Alderbridge,land,me_anduin_vale_region,WILD,wilderness,† M3 regional lexicon
me_land_0278,Bar duinath,land,me_north_arnor_region,WILD,wilderness,† M3 regional lexicon
me_land_0279,Khurath,land,me_rhun_region,RHU,place,† M3 regional lexicon
me_land_0280,Zarabad,land,me_near_harad_region,HNE,place,† M3 regional lexicon
me_land_0281,Ashbridge,land,me_enedwaith_region,WILD,wilderness,† M3 regional lexicon
me_land_0282,Lodath,land,me_rhun_region,RH3,place,† M3 regional lexicon
me_land_0283,Calen duinath,land,me_lindon_region,LIN,place,† M3 regional lexicon
me_land_0284,Celon duinath,land,me_lindon_region,LIN,place,† M3 regional lexicon
